,values
0,0.7853585837137692
1,0.7799758081188035
2,0.8018721775350193
3,0.9581393536837052
4,0.8759326347420947
5,0.772826621612374
6,0.8826411906361166
7,0.9331401019825216
8,0.7887301429407455
9,0.8691273895612258
10,0.8021476420801591
11,0.924867628615565
12,0.9093159589724725
13,0.9121228864331543
14,0.7905241330570334
15,0.9920814661883615
16,0.9588017621528665
17,0.7919641352916398
18,0.9820047415219545
19,0.8999651948366754
20,0.9181980753805731
21,0.8310069924335378
22,0.9514287637535932
23,0.8192020670641583
24,0.7671166283794725
25,0.7968671837251966
26,0.9658365319921276
27,0.9508098500841222
28,0.9204025710930878
29,0.8790691615146757
30,0.9017960513709921
31,0.9000878368097077
32,0.7791638007693242
33,0.8538985671256417
34,0.9946538286442945
35,0.9006486211550919
36,0.9772414309225871
37,0.9744951380872597
38,0.7761807231738822
39,0.782477992600202
40,0.7616039143074941
41,0.9144031132693238
42,0.9521954098154773
43,0.8899632871420051
44,0.9935673628631737
45,0.8187035102039255
46,0.8905571879288573
47,0.9732647911186689
48,0.871423255048698
49,0.8016025985027602
50,0.7827355919753762
51,0.8405377001184887
52,0.8023741823372101
53,0.9455532358421244
54,0.9790388199339376
55,0.881232246338927
56,0.9304865334026656
57,0.760849147057386
58,0.9833235733884662
59,0.9219033377990289
60,0.873276070344208
61,0.7556861489509374
62,0.9321012263118122
63,0.8276993588036342
64,0.9011395352502948
65,0.8550546861316567
66,0.7587834447539041
67,0.7974113080911386
68,0.7879277879795397
69,0.8564774570595708
70,0.8568729419345008
71,0.8502517453488608
72,0.9514888651736451
73,0.8688708875473768
74,0.9035913470702983
75,0.9015688962489394
76,0.9836923251215781
77,0.8221597885758906
78,0.9867472153378646
79,0.9902040600853143
80,0.7732387148932105
81,0.8803435812772044
82,0.8526022402545531
83,0.889230083465696
84,0.7831837007929678
85,0.9996495937701937
86,0.9978299320581024
87,0.8833357664731261
88,0.9532408896444166
89,0.8853872441552366
90,0.7792855915819448
91,0.9626185297834763
92,0.8750978067386507
93,0.9737889095074972
94,0.9647965239566801
95,0.9675914809669351
96,0.9300288092605399
97,0.8681487095718778
98,0.8869659392363946
99,0.7824645507653967
100,0.8183137873870069
101,0.8302457318410754
102,0.753543720990287
103,0.8840405940159821
104,0.994481578897232
105,0.9317519418549508
106,0.8460246882178747
107,0.9025550260477352
108,0.9307866320901698
109,0.8616096152791778
110,0.9058071953928739
111,0.7685832518477845
112,0.9384555961966489
113,0.9386424555133467
114,0.9107350428473103
115,0.8098783388099348
116,0.954565783825497
117,0.9108497527256524
118,0.833586900687991
119,0.9365570009013318
120,0.9644541837597798
121,0.9816542161384815
122,0.7619738930361531
123,0.7647002723992947
124,0.8183449753362828
125,0.9389873038064919
126,0.9158078195673033
127,0.9788182055927462
128,0.8698557120089315
129,0.9686245221962455
130,0.9744812178582788
131,0.760349911196316
132,0.7680788681442614
133,0.9328269856396992
134,0.8261450587838567
135,0.8839511653331675
136,0.8343218320889686
137,0.8730584682565505
138,0.9265654494018641
139,0.9352629086037977
140,0.8104268974896139
141,0.9035105556616785
142,0.9673422647363511
143,0.8287506490793103
144,0.7646898163213187
145,0.8810499283806688
146,0.8162451076572044
147,0.8661156482926846
148,0.9709253246769842
149,0.7738609642776244
150,0.9271798636813225
151,0.8277965797457089
152,0.8869896303635146
153,0.7680308900379784
154,0.8628707690920991
155,0.9021288166624716
